"date","site","habitat","common_name","count"
"10-11-1999","D","pool","Ringed Crayfish",0
"10-11-1999","D","pool","Sand Shiner",0
"10-11-1999","D","pool","Slender Madtom",0
"10-11-1999","D","pool","Southern Redbelly Dace",0
"10-11-1999","D","pool","Suckermouth Minnows",0
"10-11-1999","D","pool","Water Nymph Crayfish",0
"10-11-1999","D","pool","Western Mosquitofish",0
"10-11-1999","D","pool","White Sucker",0
"12-11-1999","C","pool","Bluegill",0
"12-11-1999","C","pool","Bluntnose Minnow",0
"12-11-1999","C","pool","Carmine Shiner",0
"12-11-1999","C","pool","Central Stoneroller",19
"12-11-1999","C","pool","Common Shiner",0
"12-11-1999","C","pool","Creek Chub",0
"12-11-1999","C","pool","Fathead Minnow",0
"12-11-1999","C","pool","Green Sunfish",0
"12-11-1999","C","pool","Johnny Darter",0
"12-11-1999","C","pool","Longear Sunfish",0
"12-11-1999","C","pool","Orangespotted Sunfish",0
"12-11-1999","C","pool","Orangethroated Darter",5
"12-11-1999","C","pool","Red Shiner",0
"12-11-1999","C","pool","Ringed Crayfish",0
"12-11-1999","C","pool","Sand Shiner",0
"12-11-1999","C","pool","Slender Madtom",0
"12-11-1999","C","pool","Southern Redbelly Dace",69
"12-11-1999","C","pool","Suckermouth Minnows",0
"12-11-1999","C","pool","Water Nymph Crayfish",0
"12-11-1999","C","pool","Western Mosquitofish",0
"12-11-1999","C","pool","White Sucker",0
"22-2-2000","D","pool","Bluegill",0
"22-2-2000","D","pool","Bluntnose Minnow",0
"22-2-2000","D","pool","Carmine Shiner",0
"22-2-2000","D","pool","Central Stoneroller",171
"22-2-2000","D","pool","Common Shiner",0
"22-2-2000","D","pool","Creek Chub",36
"22-2-2000","D","pool","Fathead Minnow",0
"22-2-2000","D","pool","Green Sunfish",0
"22-2-2000","D","pool","Johnny Darter",0
"22-2-2000","D","pool","Longear Sunfish",0
"22-2-2000","D","pool","Orangespotted Sunfish",0
"22-2-2000","D","pool","Orangethroated Darter",0
"22-2-2000","D","pool","Red Shiner",0
"22-2-2000","D","pool","Ringed Crayfish",0
"22-2-2000","D","pool","Sand Shiner",0
"22-2-2000","D","pool","Slender Madtom",0
"22-2-2000","D","pool","Southern Redbelly Dace",0
"22-2-2000","D","pool","Suckermouth Minnows",0
"22-2-2000","D","pool","Water Nymph Crayfish",0
"22-2-2000","D","pool","Western Mosquitofish",0
"22-2-2000","D","pool","White Sucker",0
"24-2-2000","A","pool","Bluegill",0
"24-2-2000","A","pool","Bluntnose Minnow",0
"24-2-2000","A","pool","Carmine Shiner",0
"24-2-2000","A","pool","Central Stoneroller",325
"24-2-2000","A","pool","Common Shiner",7
"24-2-2000","A","pool","Creek Chub",122
"24-2-2000","A","pool","Fathead Minnow",2
"24-2-2000","A","pool","Green Sunfish",0
"24-2-2000","A","pool","Johnny Darter",3
"24-2-2000","A","pool","Longear Sunfish",9
"24-2-2000","A","pool","Orangespotted Sunfish",0
"24-2-2000","A","pool","Orangethroated Darter",82
"24-2-2000","A","pool","Red Shiner",1
"24-2-2000","A","pool","Ringed Crayfish",0
"24-2-2000","A","pool","Sand Shiner",1
"24-2-2000","A","pool","Slender Madtom",0
